,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,B99,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BMU,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYM,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,EU27_2020,EXT_EU27_2020,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIB,GIN,GMB,GNB,GNQ,GRC,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KCMD_905b,KCMD_927b,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NIU,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,PSE,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCA,TCD,TGO,THA,TJK,TKM,TLS,TON,TOTAL,TTO,TUN,TUR,TUV,TZA,UGA,UKR,UN_1500,UN_1501,UN_1502,UN_1503,UN_1517,UN_1518,UN_1636,UN_1637,UN_1829,UN_1830,UN_1832,UN_1833,UN_1835,UN_5500,UN_5501,UN_900,UN_901,UN_902,UN_903,UN_904,UN_905,UN_906,UN_908,UN_909,UN_910,UN_911,UN_912,UN_913,UN_914,UN_915,UN_916,UN_920,UN_921,UN_922,UN_923,UN_924,UN_925,UN_926,UN_927,UN_928,UN_931,UN_934,UN_935,UN_941,UN_947,UN_948,UN_954,UN_957,URY,USA,UZB,VCT,VEN,VGB,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
MAC,0,1008,3,0,304,3,1,73,102308,127,1,0,0,5079,1,0,180,1224,8,1,0,33,0,0,4,25,1,480,0,0,0,75892,76,3,43958808,2,8,3,0,2624,0,0,8,0,0,2,57,452,0,0,61,1,1,814,21,0,117,0,6,0,0,22,1,920,0,0,473,0,6,0,0,1,1,0,8,0,0,6748405,4,0,0,61,5379,165291,25,1,7,2,11745,136,3,16,399961,21,0,0,20,3,23016,0,0,713115,1124,263,28,0,0,0,155,0,4,0,0,0,3,4,0,575,5623,0,0,0,12,1493,53,6,0,1001,0,142701,3,2,14,26,0,79,31,307,0,16127,10,95,862,0,296263,8,4,32,0,161,0,0,22,15,25986,0,2911,2,11,175066,0,0,0,0,0,1,0,0,2,70,0,167,0,1,0,0,600119,0,0,0,0,0,3,2,78,0,0,1357,4662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,194961,10,0,1,3,283984,0,0,0,5386,0,3
MAR,191,2644,631,0,117362,1417,144,14,27006,34234,740,0,354,846252,5058,10607,1395,7169,10715,109,257,302,22,52,99,37349,71,61,3,215,1489,112512,231767,6365,60365,46507,9793,2875,13685,4219,228,3876,1112,462,3,1324,6690,544909,955,451,48916,977,276307,1256,61926,46,1022123,777,1911,0,0,5158,69,3187793,0,11433,686826,850,5724,3345,19485,5130,4570,3461,11609,116,17,7657,44,1615,158,4513,5626,21600,23927,3158,2979,379,32543,722536,174,16854,21497,441,0,0,5535,98,695,4,30,35608,31294,31,17145,3468,1051,82,1774,103,878,14859,1083,4,0,168,1239,1308,16335,10,273,26712,2164,329,41,385,43054,1713,154,8184,171,9813,9840,184,0,351880,23003,214,0,6180,14200,1866,442,3174,8191,4,51,5689,0,78972,329,0,30988,21417,51141,1419,332954,4425,47914,2443,9,3388,239,113,54,47,77,61,350,35814,0,353,0,21,3837,5395,8792,21,10,0,24,0,242,174381,125461,2,1328,2960,13929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,227003,127,7,4211,3,707,17,21,7,9629,562,296
MDA,112,41,272,0,4113,44,2247,0,336,33334,2383,0,1,8146,35,13,53,2153,73,3,311,3041,4,0,1,181,0,0,0,3,5,9234,9828,20,2404,64,36,26,4,20,0,12,3,57,0,12113,5745,59717,7,0,3277,254,71,11,368,0,28795,1444,22,0,0,1913,5,35501,0,14,89547,3373,45,0,9,4,0,12,18790,1,0,358,4,974,4,2527,180,469,20538,87,501,118,43608,355192,11,708,917,2914,0,0,95,1736,42,0,0,596,108,13,2120,6,4,5,125,3,2099,615,3476,0,169,0,10,453,99,0,369,6,506,4,45,14,1,86,7,175,7,14,87,1,0,6685,3409,67,0,53,63,62,19,11,64,0,0,10697,1,14227,4,0,359,27738,619197,8,555,75,49,315,0,8,0,0,4,0,0,116,724,4758,0,75,0,0,3,11,708,1052,190,0,0,0,3,161,144320,0,54,50,24882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,32512,1012,0,1,0,207,1,0,0,192,15,4
MDG,18,227,13,0,5366,95,2,0,1243,720,14,0,254,2329,421,311,111,236,66,1,6,4,0,41,5,380,17,0,0,566,119,2572,6657,27,9593,1399,1101,759,458,61,29714,20,18,12,0,30,620,8194,241,0,658,13,215,8,541,15,3206,51,949,0,0,168,14,112460,0,704,6394,14,485,2,125,3,18,128,502,6,0,6957,3,83,59,424,234,7653,165,271,55,19,601,16557,20,102,1360,14,0,0,8898,4,79,2,0,861,851,17,429,27,7,1,4242,75,85,195,37,0,1329,11,0,10,57,0,8,325,90,50,5,1549,63,47576,295,519,311,252,612,4,0,2180,890,60,0,95,55,751,36,21,1201,0,12,478,0,336,8,0,85,326,576,603,507,144,1304,646,1,27,0,0,89,11,0,0,89,557,0,11206,0,0,194,171,4043,9,0,0,1,0,1,434,1314,0,1683,825,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7363,1,0,6,0,138,13,1,3,18752,1159,787
MDV,178,74,540,0,106914,526,369,0,24594,28665,931,0,0,6232,4,5,9304,5020,2593,14,106,768,0,0,7,1953,7,19,7,31,2,7695,51027,312,332038,39,12,12,3,507,11,0,55,4,0,537,11000,188988,11,0,11508,212,784,112,3948,15,37762,977,50,0,0,2175,34,59573,0,15,155556,306,111,4,3,2,0,2,2824,0,3,44405,2,906,0,8915,5356,223958,3250,3655,1424,36,7878,106933,9,1580,50671,3416,0,0,617,84,600,0,5,40331,5740,144,2652,1,1,2,191042,0,1956,366,1864,575,1308,468,15,0,1585,0,347,3,473,1522,75,88,5,1064,8,59664,102,1,431,10,0,7846,5251,1984,0,2247,4534,6526,105,9,2857,0,6,6988,0,8365,8,0,9737,5355,56165,25,54415,783,42,101544,0,0,1,0,33,0,0,418,626,10547,0,457,0,0,3,0,88490,40,69,0,1,0,71,611,14532,0,175,63,7686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,32953,29,0,5,0,3467,0,1,0,6868,41,43
MEX,36,604,1627,0,9004,380544,1664,425,93310,29470,823,0,21,67916,776,26,210,8321,347,6932,120,2174,10520,1116,31138,402048,1313,14,377,78,9,2407779,58449,205778,197062,238,251,61,84,623431,2,1067,299019,507145,1269,1712,54374,362755,12,203,22083,67887,1054,91100,7690,6,731542,906,225,0,0,7642,229,711471,0,38,651358,891,297,56,19,85,11,95,12498,225703,572,30639,33944,2603,2728,8224,2208,74709,22581,4447,188,456,64641,314308,8699,4583,176485,1544,0,0,1177,39,8419,10,361,107492,2481,24,1718,29,2,663,295,21,1109,2376,1689,5623,16335,111,70,1585,0,7,146,114,890,316,74,135,55,404,40,8641,1417,14,9603,32514,0,68356,9867,2564,0,20682,220,370,121774,269485,17163,4,42,13036,0,26146,39790,0,623,20888,50875,522,6051,33,256,17636,10,87,83921,537,1,3,376,9955,446,18363,0,1045,1,510,13,77,5549,22,6,0,10,0,8206,848,23479,0,2212,486,16021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51801,46348944,33,111,105757,210,1410,13,50,0,10711,148,839
MHL,0,0,0,0,7,1,0,0,230,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,23,2,1,220,1,0,0,0,0,0,0,0,0,0,0,0,16,0,0,3,0,0,1,0,0,3,0,1,0,0,0,835,13,9726,0,14,2,0,0,0,0,0,0,0,0,0,70,0,0,0,0,54,4,0,0,0,0,0,4,0,0,852,0,0,0,1,0,0,7862,0,167,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,0,10,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,3,2,1,5,218,103,0,0,6,1,542,201,82,0,0,1,0,0,4,0,4,1,1,0,0,19,37,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,60,0,0,0,7,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10745,0,0,0,0,14,17,46,0,3,0,0
MKD,412,114,587623,0,11872,60,378,0,16632,21228,740,0,0,32164,5,0,117,599347,196,16,14329,310,2,1,31,266,18,24,0,8,198,5692,188886,24,9804,27,44,13,20,45,1,6,9,50,6,503,7259,257441,53,0,23876,52,89,3,793,0,28524,688,19,0,0,2631,11,31256,0,21,70380,1005,190,2,0,0,0,255,1761604,9,0,497,3,42890,26,2939,217,442,817,514,2019,113,9793,73097,16,344,522,511,0,0,108,160,9,0,0,3110,571,10,388,5,2,0,102,1,630,686,1045,0,261,209,9,323,170,0,0,216,1528,11,24,37,4,69,8,195,3,0,105,0,0,29565,25015,61,0,354,104,432,15,19,162,0,1,3811,0,1314,0,0,801,39457,7431,36,849,53,31,730,3,12,18,0,12,0,0,19145,27369,114983,0,82,0,0,32,1,736,26,7,0,0,0,3,311,251563,0,54,55,7770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,43314,31,0,5,0,61,0,0,0,348,15,6
MLI,16,1869,32,0,5626,17,1,1,517,510,30,0,389,3282,7418,20229,501,109,39,1,67,27,0,0,10,372,8,0,0,58,629,4036,2610,12,18067,43848,3670,1208,26651,66,57,98,8,78,0,37,125,4514,57,0,940,11,14219,58,1431,4,15350,115,5448,0,0,246,16,100546,0,7732,2933,23,6726,0,9740,166,607,224,74,10,1,643,6,85,91,109,226,1859,156,133,63,1,101,5276,1,155,215,9,0,0,2032,5,111,0,0,308,1300,9,1264,73,20,2,38,14,14,192,77,0,26712,5,356,3,114,0,197,0,112,5,2,1006,6228,78,120,141,408,7620,80138,18,0,3092,1020,131,0,47,47,308,53,53,261,0,1,98,0,1234,3,0,141,232,1193,1139,15822,352,61886,39,0,151,4,0,22,5,1,0,76,1389,0,11,0,0,1942,6535,408,6,0,0,0,0,0,14729,4804,0,839,942,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11582,7,0,19,0,82,1,0,0,4991,414,444
MLT,30,128,1492,0,10961,499,314,18,13507,57892,638,0,4,83525,40,117,158,35293,353,91,830,526,8,108,6,4263,95,35,0,41,6,13264,88764,197,4533,130,164,21,82,1109,0,16,124,213,26,10056,15375,316614,24,3,44207,68,3095,44,5294,4,137055,5813,234,0,0,22778,23,210468,1,162,928399,1078,535,252,16,35,1,17,49990,113,11,1440,65,6208,7,58154,1607,5839,53256,454,431,731,19521,817912,44,1002,19635,700,0,0,681,36,76,1,2,2249,766,12,1757,12,518,17,510,19,20272,8161,5588,16,2103,623,64,386,722,0,1041,116,0,217,69,64,41,466,34,1175,88,82,1019,49,0,81486,17843,141,0,426,466,628,143,206,8588,1,6,105628,0,9726,7,0,632,22811,26479,32,1490,339,183,2400,2,36,9,0,23,2,5,8616,10132,69718,0,84,0,11,61,14,3391,22,28,0,1,0,97,20379,28576,0,249,143,5800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,32654,53,3,118,8,562,3,15,0,3895,71,47
MMR,55,47,12,0,10293,95,13,0,39550,2165,48,0,7,8032,8,0,19184,168,304,17,21,182,1,0,7,531,3,1990,87,6,6,15504,10042,76,2926730,110,47,24,38,96,0,1,26,22,0,322,787,20203,77,0,2392,85,268,44,1223,3,6030,62,79,0,0,986,99,29936,1,8,24244,52,130,70,4,4,1,2,424,25,1,69538,17,144,22,384,55743,115240,712,163,69,16,2133,11945,76,1107,120833,356,0,0,469,68,25901,3,1,132855,358,7483,320,15,0,0,8072,13,188,179,129,1411,348,12,33,2491,303,1,12,0,227,0,448,73,3,152,18,247406,37,4,128,20,0,5431,2327,3401,0,5570,421,1940,572,75,23863,11,325,897,4,806,8,0,3220,183,5640,11,1725,46,130,445946,4,3,4,0,1,0,1,0,56,1198,0,34,0,2,0,32,1901828,9,1,0,5,0,65,47,970,0,151,148,485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,83997,52,0,48,1,113717,10,28,0,1649,37,26
MNG,48,5,18,0,1326,16,99,0,10693,3620,218,0,0,1902,0,31,284,503,42,1,20,438,0,0,12,322,0,12,14,2,0,3994,4085,71,1473620,3,0,5,5,38,0,0,5,145,20,98,5460,15834,0,0,630,2,6,13,153,0,2220,157,26,0,0,513,77,9853,5,0,7596,283,25,0,2,1,0,0,287,1,1,20086,6,148,0,2018,3383,6232,678,268,21,16,739,4884,1,78,61499,30876,0,0,81,2974,897,1,0,152553,195,524,58,1,0,0,441,3,123,163,274,63,54,74,5,74,130,0,21,2,100,472,0,4,10,9,6,3242,1,0,74,4,0,1716,520,747,0,1111,33,190,14,43,3908,15,40,2229,36,240,1,0,327,293,606091,7,145,30,11,10728,1,0,2,0,0,0,3,2,134,3490,0,6,0,0,3,0,13339,56,26,0,2,0,4,6,8411,0,36,90,2192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34885,510,0,12,2,4312,3,3,0,640,11,4
MOZ,13,9343,32,0,10456,397,22,1,1255,727,47,0,197,1932,158,148,1183,169,339,2,18,43,4,3,41,10644,2,0,0,4195,23,1089,3107,334,21474,768,943,744,461,176,91,499,28,1211,0,121,115,7129,29,13,1471,20,358,23,1301,12,5045,43,5866,0,0,467,16,4499,0,206,9499,31,992,3,553,41,163,81,372,22,2,4130,9,145,7,142,1139,22550,421,98,151,45,812,8037,10,369,1793,54,0,0,21168,15,107,0,0,1656,418,11,1919,83,8,4,1610,773,22,118,99,9,408,12,1655,99,147,0,31,945,66,112,2,0,24,2499,283153,549,2129,33,4458,25,0,3616,1179,185,0,112,112,6330,52,132,2175,0,10,293,5,58231,50,0,1705,219,656,1115,2190,444,1213,845,0,159,11,0,361,366,0,2,19,1794,222750,318,0,2,42,121,4670,1,0,0,4,0,8,271,3259,0,14822,2463,457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,41339,9,2,105,0,1769,0,3,6,2386668,6214,278235
MRT,44,2133,8,0,10718,2,11,0,104,276,5,0,37,1374,387,1041,110,55,98,1,6,10,0,0,2,286,1,0,0,25,477,1395,1080,65,6565,4007,595,277,2646,35,13,79,1,10,0,14,23,2512,40,0,72,2,6059,4,1674,16,29686,51,174,0,0,123,0,21540,0,892,1517,18,962,4,1363,161,57,123,259,2,9,364,1,38,13,70,237,1327,82,49,106,119,18,1782,2,518,156,8,0,0,306,10,5,0,0,107,511,0,1282,46,27,1,57,2,159,43,280,0,42035,2,60,11,49,0,0,7093,46,4,12,24,0,88,9,298,38,1252,288,2,0,447,157,17,0,7,155,290,10,16,1183,0,0,458,0,495,0,0,2347,130,705,106,13166,1807,30818,69,0,92,1,0,7,2,4,2,4,103,0,13,0,0,369,411,135,25,4,0,0,0,3,25650,5075,0,107,81,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4976,5,0,5,3,12,0,0,1,1028,121,44
MUS,21,825,96,0,64849,764,18,6,26119,19507,58,0,147,16118,113,103,8919,1669,293,38,15,97,6,33,9,1396,84,7,19,2258,36,11608,59054,156,103516,1036,593,872,436,124,928,78,75,25,12,505,10328,131479,137,14,8954,493,488,37,1218,9,21531,308,947,0,0,2680,58,293670,0,506,187806,74,1197,6,50,54,8,35,3154,4,10,16662,12,400,27,2990,3707,135089,4944,593,81,19,1808,62728,34,561,2500,380,0,0,10367,5,136,0,23,9216,576,11,505,9,0,5,1581,1408,384,1599,547,1001,1713,82,45452,1100,404,0,50,85,446,150,11,2383,96,0,504,24807,1432,60,2792,11,0,11473,5807,515,0,1259,304,2176,69,64,2737,0,10,3934,1,4466,37,0,685,3467,10144,660,9325,133,512,15672,1,53,0,0,26,21,16,34,318,8742,0,18426,0,7,70,83,3703,2,1,0,2,0,64,655,3072,0,2839,1976,3528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,12376,12,0,8,13,1089,21,5,0,191758,2276,3544
MWI,8,191,3,0,4353,29,3,4,855,308,10,0,94,912,65,87,134,24,18,1,10,1,0,2,11,330,6,1,0,2265,8,38211,1097,7,2482,250,240,225,78,29,2,7,12,0,2,75,28,2912,12,0,506,9,24,13,510,20,580,6,4538,0,0,285,6,812,1,47,12951,11,778,0,25,65,3,19,120,13,0,586,4,24,3,47,95,7952,933,4,66,15,290,1476,16,49,693,6,0,0,14128,2,35,0,0,1250,474,4,314,79,0,0,326,855,13,88,9,0,160,6,295,22,37,0,5,89,69,16,10,283153,6,624,0,209,800,26,1474,3,0,1810,1030,76,0,98,81,1040,3,37,138,0,4,90,0,1044,7,0,95,30,62,1013,422,641,271,145,1,186,0,0,25,11,0,0,5,540,0,82,0,0,14,78,415,0,0,0,3,0,0,34,343,0,18160,2953,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14009,0,3,0,0,45,0,3,0,71238,20968,509309
MYS,571,747,3664,0,137466,1718,577,54,1074015,11597,2260,0,47,21711,384,51,538237,6296,14853,159,652,2888,11,64,46,10531,99,1445390,2515,340,5,85988,31018,5429,3288811,812,676,177,1050,1951,30,4,1090,95,50,1692,9840,100446,501,84,21282,85,11154,1288,58282,6,32210,1141,1580,0,0,7132,1548,77915,14,2965,583732,588,1508,182,257,67,2,466,7435,133,47,905680,30,3644,8,14660,5467683,1288117,18455,115853,33265,857,7466,61977,48,41637,811527,15071,0,0,5682,2499,365710,9,3,801401,21155,55452,13159,444,790,7,213097,99,708,1026,881,142635,8184,184,411,58745,8641,4,279,141,1191,247101,3256,840,265,27308,177,0,505,50,21979,176,1,69891,10701,279862,24,105144,39375,179717,622,2902,567513,187,6890,24768,11,5941,98,0,36962,8590,59115,311,459015,19052,684,14424548,1513,411,136,313,862,5,511,101,1158,15511,0,870,8,5,116,60,5286999,314,575,0,63,0,739,5987,61485,1,3178,1926,13276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,295781,12347,1,287,8,933072,45,79,166,28766,911,3477
NAM,8,403376,10,0,2339,218,38,4,9600,2999,60,0,56,11747,59,66,44,336,41,13,2,67,7,3,6,2171,83,0,0,11124,7,8734,10804,118,15165,328,307,532,458,38,19,40,5,792,15,141,627,75540,12,1,1613,635,185,13,823,28,5759,344,1300,0,0,1126,17,12851,0,123,14243,42,1041,1,24,65,3,69,567,1,0,2394,22,392,3,550,589,2374,469,42,44,206,1100,9084,115,46,732,14,0,0,3356,2,49,0,0,1332,11,6,132,67,6,5,111,891,338,290,182,3,174,9,346,126,1414,0,4,493,104,36,3,2284,34,2066,841,468,0,91,1563,2,0,4761,1171,61,0,344,33,323,30,60,1354,0,60,1005,8,2025,6,0,418,294,2773,407,89,266,372,658,1,136,0,0,8,49,5,18,79,1124,0,486,0,1,41,46,939,2,6,0,1,0,141,82,1187,0,2367,983,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,29190,45,2,43,0,72,0,14,0,556708,7092,96176
NER,4,49,6,0,4257,1,3,0,44,279,17,0,164,2713,4821,13967,26,10,11,0,8,2,0,0,0,88,2,0,0,26,560,5776,1689,6,6273,14197,3217,640,662,7,36,134,6,57,0,4,22,2271,109,0,153,1,5019,19,827,7,1106,0,3001,0,0,15,0,22826,0,850,758,13,2988,0,1171,343,487,57,57,3,0,108,0,14,169,67,42,908,83,137,24,4,88,1373,0,98,78,2,0,0,1072,3,6,0,3,80,204,0,532,275,55,0,12,2,1,178,0,0,9395,7,264,1,15,0,1,8151,66,5,1,41,1242,62,27,38,88,0,3732,0,0,320,100,19,0,4,10,116,4,16,49,0,1,35,0,71,0,0,141,50,182,501,5920,607,14422,29,0,147,0,0,5,21,2,0,3,104,0,10,0,0,3180,5545,89,0,0,0,0,0,0,7928,3724,0,177,471,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8981,0,0,10,0,10,0,0,1,808,106,55
NGA,34,19029,116,0,202760,638,37,268,6040,9429,520,0,403,9193,193761,30753,1369,4588,499,1389,94,616,90,22,18,15309,1670,128,0,2124,221,45519,13478,1051,260371,53640,43153,3661,51005,627,22,742,60,526,25,5590,1198,54684,118,262,3758,177,1319,244,62282,53,25016,255,42644,0,0,2096,170,33493,0,30549,405699,1381,554128,55,2475,40917,671,4826,5651,20,83,7590,72,1368,71,2564,5981,184774,20167,1037,528,143,11549,64980,317,2740,13089,207,0,0,40872,22,1576,0,191,11615,2058,25,46181,18220,32,173,1258,1855,379,561,365,17,9840,99,598,472,9603,0,97,80138,1097,120,56,4482,285,2887,1436,20393,1592,3317,0,24,0,36377,3561,280,0,1416,2976,4443,196,254,6867,27,100,4067,14,3671,318,0,8199,2656,3607,7552,183251,11935,29862,3348,10,25191,27,0,37,27,99,74,227,4524,4265,1012,0,11,3488,90964,6135,61,6,0,12,0,7069,1514,33353,0,18872,13865,6791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,430810,35,166,1452,12,2423,1,10,6,177864,6321,19657
NIC,3,27,21,0,134,2009,25,29,6978,906,24,0,1,3135,44,3,3,305,5,706,0,12,2127,35,949,5237,152,0,0,1,2,41935,3235,2890,1693,5,12,4,0,15880,0,16,616070,8304,307,14,334,8502,3,22,1136,8308,9,6347,114,0,32354,11,10,0,0,395,13,6409,0,1,6558,23,11,2,0,0,2,7,88,69102,108,96,18707,55,716,92,27,1348,391,25,11,166,2857,5064,487,124,796,20,0,0,109,1,15,3,43,3084,40,1,23,1,5,29,7,1,42,145,14,26,184,2,3,10,32514,0,1,17,33,17,2,14,1,11,4,176,4,1,25,0,0,5933,943,5,0,1528,4,7,69522,5102,124,0,9,120,0,546,575,0,16,688,2168,14,42,3,23,170,0,1,192919,5,1,0,57,0,5,1550,0,3,0,19,1,5,56,1,0,0,0,0,294,13,140,0,21,40,478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,752,498863,0,15,5964,30,18,0,2,0,397,6,3
NIU,0,0,0,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,144,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,0,1,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,16,0,6,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,11956,0,0,0,0,3,6,12,0,0,0,0,0,0,0,0,0,0,0,0,95,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,0,0,0,0,0,11,145,0,0,0,0
NLD,7379,5135,18701,0,153029,30594,9015,277,105599,641528,7019,0,683,3986486,756,1072,6442,107021,7758,1655,32733,23773,1030,723,2906,124043,1495,1536,19,1574,577,292258,953843,15481,222921,4772,1841,1137,1734,29137,609,40706,22685,41854,368,40388,365705,9092100,503,77,635161,12741,7965,20685,85748,1328,4570842,38784,10551,0,0,213953,556,4913189,16,1660,6730050,25319,55717,261,564,4243,147,592,591927,5352,574,99774,1529,144240,798,394743,214980,159122,675633,59331,27624,120434,335630,2514218,5377,19147,115109,25284,0,0,26756,2618,6131,6,171,65797,20541,803,22658,576,135,480,33463,118,85001,44133,65463,108,357981,6921,2368,5960,60509,6,29146,3342,80941,5492,2123,3255,419,10946,1739,71008,5347,293,36317,6150,1,0,522492,10452,0,26743,11501,20850,13253,37466,59350,842,362,627704,1,1102561,1198,0,20389,152304,183236,5727,35268,4371,4056,81552,37,1113,1197,0,2091,92,141936,3851,27189,431522,0,1776,15,106,371,441,198186,574,462,0,24,0,2165,23307,953822,1,35909,12321,64293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3058,1321820,1656,99,2411,529,42029,33,72,2,159260,4559,2982
