"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"NEWTZ","Newtek Business Services Corp.","26.8127","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/newtz",
"NXST","Nexstar Media Group, Inc.","94.02","$4.34B","2003","Consumer Services","Broadcasting","https://www.nasdaq.com/symbol/nxst",
"NXTC","NextCure, Inc.","26.56","$603.3M","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/nxtc",
"NEXT","NextDecade Corporation","4.65","$513.99M","2015","Public Utilities","Oil & Gas Production","https://www.nasdaq.com/symbol/next",
"NXGN","NextGen Healthcare, Inc.","14.8","$967.65M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/nxgn",
"BIMI","NF Energy Saving Corporation","2.14","$16.21M","n/a","Capital Goods","Metal Fabrications","https://www.nasdaq.com/symbol/bimi",
"NGM","NGM Biopharmaceuticals, Inc.","14.9","$984.04M","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/ngm",
"NODK","NI Holdings, Inc.","16.78","$370.76M","2017","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/nodk",
"EGOV","NIC Inc.","20.52","$1.37B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/egov",
"NICE","NICE Ltd","151.51","$9.44B","n/a","Technology","Computer Manufacturing","https://www.nasdaq.com/symbol/nice",
"NICK","Nicholas Financial, Inc.","8.69","$68.89M","n/a","Finance","Finance Companies","https://www.nasdaq.com/symbol/nick",
"NCBS","Nicolet Bankshares Inc.","63.9","$597.19M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/ncbs",
"NIHD","NII Holdings, Inc.","1.59","$161.66M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/nihd",
"NIU","Niu Technologies","7.38","$548.61M","2018","Capital Goods","Auto Manufacturing","https://www.nasdaq.com/symbol/niu",
"LASR","nLIGHT, Inc.","14.14","$532.9M","2018","Technology","Semiconductors","https://www.nasdaq.com/symbol/lasr",
